message,intent
"Yeah, Rhea's already struggling a bit. Uh, taste a lot.",PROBLEM
"Yeah, I'm gonna start to make some mistakes with the tires.",PROBLEM
"Let's pick up the base land a little bit. Yeah, yeah. Okay, thank you.",ORDER
"Ok Lando, a mix of medium and hard starters. On medium Verstappen, Ocon, Hamilton, Zunoda in front of you, behind Debris, Albon, Sergent and the back of the grid Julke Mugger and Perez. On a hard Alonso, Sainz, Leclerc, Gasly, Russell in front of you, behind you Oscar, Stroll, Bottas and Mansell.",INFORMATION
"Yeah, like, people are racing against me. I know, I know. The car you're racing is Sainz, 48 seconds. Oh, sick.",INFORMATION
I suggest red a7 red a7 you're one of the quickest cars out there,ORDER
"Happy to do less, Lyco.",INFORMATION
"Tsunoda struggling with front left, Lando possible rain, class 1 on lap 35.",PROBLEM
"Lando, possible rain, class 1 on lap 35.",INFORMATION
"How's the balance? How's the balance? Well, not great obviously. The front grainings is hard to not get. The raise you have to manage a bit but the front grainings is the bigger problem.",QUESTION
"Yeah, but I'm just so sh**ing low in the middle, so I can't do anything.",PROBLEM
"I'm gonna need to change my helmet and everything anyway so it's fine to get out. Still raining so it's not gonna restart anytime soon. Were you talking? Like I didn't hear anything. Can you hear me? Yeah, no, okay. Okay, sorry we are losing the connection on my belt pack. You can jump out if you... Yeah, okay.",INFORMATION
"Okay, Lando, the rain is easy enough. Can you keep the car on track? Yeah, yeah, yeah.",QUESTION
"The box mate, we're too slow We are faster than Intest cars What the f- are you f***ing stupid mate? BOX! Land in pit lane!",PROBLEM
"Suggestion, green f3, green f3, we think rain will come in the next one two laps, it will hit turn one first, it will be light. Yeah, it's already in turn one.",ORDER
"Russell 1.1, Hamilton 2.2. Yeah, I got it, I can see that.",INFORMATION
"I'm not going to do that. I'm not going to do that. I'm not going to do that. I'm not going to do that. Let's go! Well done. Oh, ****! I hit the wall! OK, just bring it back carefully. I don't know. Let's go.",INFORMATION
"Lewis needs to give the position back. He just brakes way too late. He committed to it, so he needs to give two positions back. Understood, Landon. We've already raised it with the race director. Yeah, but they're going to do it for George, but he just committed to going off, so of course he could brake a lot later than me, you know.",INFORMATION
"I struggled a little bit with the ride from the rear in the last corner, just when I clip the kerb, but generally everywhere else is okay. A slow speed rider, I would say I'm pretty happy. Probably the place I struggled the most is, I have no idea what corner number, like the left-hander when you lose no brakes, turn eight or something, turn eight I think. Cool.",PROBLEM
"And Lando, Russell and Leclerc used half a tyre. What do you mean, used half a tyre? What does that mean? Half a tyre on the yellow in turn one. Ah, okay. eighty-one. You can go away with it. No matter what the tyre is, you can go away with it. You can go from theúa, Ul. Keep your tyrespumped unless you come on the После with Thom回來. Once the tyre is Europa. Place your tyrespumped in, come on the grey. There is thebes a 수도 cannot see.",QUESTION
"So now we have a break in the rain, it's stopping on next one expected in 15 minutes from now, 15 to 20 minutes.",INFORMATION
"Okay, that's an 8 minutes warning for you Liam, 8 minutes warning. Restart in 10 minutes and we will exit the piton in 8.",WARNING
We will do 2 laps behind the safety car and then 5 race laps. Everyone will be on the inter. We've done as much as we could to help you with tires and brakes. We bring it to the flag.,INFORMATION
"Okay Liam, so Yuki got a penalty and that's P13 for you today. P13, good effort, good effort. I think you should be pleased. Cool, yeah. Considering the amount of time that we lost at the start, yeah. Good job. I enjoyed that. Okay, glad you enjoyed it. Still a lot of work ahead and we get ready again. Unfortunate with the penalty, very unfortunate. But you did all the right things today and we review the details for next time. Yeah, for sure. To be honest, I started to get a bit more of a feeling on the soft when I got clean air. That medium set I didn't feel very comfortable on, but I started to get more of an understanding on that soft. Yeah, I copied that. And we wanted to try something on the medium because there was not too much to lose. But yeah, the soft was a good component. So, I think the soft was a good component.",INFORMATION
"Well done Lewis, so we're coming down the pit exit, so just remember down the pit exit. So yeah, P4 and fastest lap, so well done on that mate.",INFORMATION
"Chad 9 every lap. Oh, he's been on Chad 9 every lap.",INFORMATION
"Oh, he's been on the 10-9 every lap.",INFORMATION
"So, potential rain on the radar, 20 minutes away, not very strong though, nothing like yesterday.",INFORMATION
"God, that's not a very good rear end.",PROBLEM
"So light rain being reported around the circuit, but very light.",INFORMATION
"Yeah, it's getting pretty wet, mate. Yeah, copy. We think this is only going to last another five minutes at most.",INFORMATION
Got to be careful dropping too much time or otherwise we've got to make it all back up.,ORDER
"And you're going to the grid. This sets flat spider. Okay, copy. Yeah, we won't need it.",ORDER
Not having to tighten up the wheels? We've gunned them on so we're happy.,QUESTION
"I got a problem with my left front, it's starting to steer the right. Ok copy, we're looking at it.",PROBLEM
So let's use the tyres now. I have been for the last five laps too.,ORDER
Should've gone to the hot tire man.,INFORMATION
"I'm in the DRS. Still not catching him. Yep, understood Lewis.",INFORMATION
What happened? George looks like an issue on the cooling system.,PROBLEM
"So, same lap time as Gazdy, car ahead 3-0. Yeah, I can't catch you. Save it, time.",INFORMATION
There's hot air coming out of that gun.,PROBLEM
Is anyone else still out on the hard?,QUESTION
"Copy, those who started on it are still out on it.",INFORMATION
I need to pick up the pace.,ORDER
"This place looks okay, it's coming towards us so don't worry about it.",ORDER
Just seeing a couple of peaks but not too bad.,INFORMATION
"It's getting to a point, it's pretty dangerous out here. Right, Sibri? Okay, copy. Range should start to reduce turns 3 to 9.",WARNING
I'm struggling for grip as it is mate.,PROBLEM
Riff. I mean both are going but I'm sticking to the roof.,INFORMATION
So this rain is looking imminent and it will be heavy so you can use the tyres.,ORDER
"George Lowe's Pass from a much different tyre strategy to him. Yep, we're trying to get the message to him. Should be this straight.",INFORMATION
"I'm going to tell George the last part from a much different tie strategy, Tim.",INFORMATION
"We should have come in man, this is very wet. Copy Lewis, so we're going to stay out, we're going to have to brave this I think.",ORDER
"I do have reports that Leclerc may have had some damage, so missing some rear downforce. See you ahead of me. Leclerc car ahead. He was 1.7 slower than before the safety car.",INFORMATION
"Nice and loose, next car, Norris, one second ahead.",INFORMATION
And let's see if he can give us a balance check. Balance check. That's pretty good. A little bit of a slip. Copy.,ORDER
"That was all okay in the box right? Yeah, copy. Yep, that's all okay. Just trying not to hit car, that's all slow down. Yep, roger.",QUESTION
"That far's a gap. Seven seconds, Norris. Is it a big gap for us to catch? Negative. Let's go for it.",ORDER
George needs to pick up the base if you can. Copy that.,ORDER
"I think it's another lap man. Yes mate, yes. Just one more lap, that would have done it. But great job there mate, so that's P3 and fastest lap. Lewis, five hours later. Sir, yeah, I hear you Toto. Thanks so much for the support, for the positive words. It's not the easiest of weekends, but good result in the end. Thank you. Peace out guys.",INFORMATION
And we'reِ out bad. Cause it was hype man good.,PROBLEM
"Yeah, we do see the damage, carry on for now.",PROBLEM
We try to fix it at the P-stop going down with flap nothing we can do right now. Keep pushing.,ORDER
Tell me the amount of damage. And 5% aerobalance is pretty big.,PROBLEM
"We are doing great with the car we have, good job!",INFORMATION
"four behind and Alboncar behind, point four behind",INFORMATION
Rain expected in 4 minutes. What is the rain intensity? 2 to 3.,INFORMATION
I'm running. Copy it. There will be few spots for a few minutes and then increasing.,INFORMATION
"I think both sides lock then, or wait for the red flag",PROBLEM
"Yeah, not raining anymore. Cloud is living cold.",INFORMATION
"Track temp 4.7, 4.7. It is meant to drop through the race 4 degrees.",INFORMATION
Track temp 4.7 It is meant to drop through the race 4 degrees,INFORMATION
"Yeah, these are... Could have been the worst I expected Ok, understood",INFORMATION
"I have a slow dark shift, but the left panel is on the spot. Understood.",PROBLEM
"So nothing strange on the gearbox, all fine, we are checking anyway if there is anything else. No, it's what I had before, this sticky paddle thing. Yeah, copy, must be steering wheel.",PROBLEM
"What the f***? Exactly what I talked about! Exactly what I talked about! Slow intro, Hamilton 1.4 behind The main target there was to cover Hamilton Hamilton 1 second behind I don't care about Hamilton! I was f***ing weak!",PROBLEM
What is Charles' pace? Charles Lapte is 17.5 in free air. I was doing 65.,QUESTION
"All okay with the safety car gloves, no one else. All okay, all okay.",INFORMATION
He's leaving me no space. You need to do something about it. We're gonna crash.,PROBLEM
"and multifunction RB position 7, RB position 7 and Gasly is 2 in front",ORDER
"What is the forecast? Stay for 5 minutes this kind of rain. Only 5 minutes, I need more to go to extreme. That's our best guess but can be anything as you know.",QUESTION
"You tell me the forecast and I tell you, Ty.",ORDER
We expect the rain to stop in 2-3 minutes.,INFORMATION
"Perez and Hülkenberg just already pitted for hard to go into the end, also Zoo, all clear.",INFORMATION
and Cecho at the back just beat for hard 16.5 his lap time for info and all the field is packed,INFORMATION
Let me know when Ocon starts struggling with the eyes.,ORDER
A bit on the nose just for your foot.,INFORMATION
Let's go ship to N-Rollooun.,ORDER
"Superb, we nearly checked out on wing. Broken from wing. Stay out, stay out for a moment. No damage. It's okay.",ORDER
"I need to know the damage, how much load there We are checking I think he moved a bit later, I'll be in to be honest Copy that, try your best",PROBLEM
"Okay, I see a bit of front left and a bit of rear left waiting on the board. Just waiting for...",PROBLEM
"Okay, understood. And we had the first strike for turn 11. Track limits for info.",WARNING
and box to overtake Ocon,ORDER
And for Info Alun's report in rear left graining on the harp and also lap times 7.9.,PROBLEM
"And for Info Launch report in rear left draining on the hull. Yes, same here. Up here. I think the deck is higher than expected.",PROBLEM
How is the rain looking? In 45 minutes but it's slowing down the risk.,QUESTION
"and box to overtake Ocon, Carlos box to overtake Ocon",ORDER
"Now we've born with phase 7, crop with phase 5. We've rotated a bit.",ORDER
and the heaviest part of the rain has passed and should be clear for 10-20 minutes and then some more could come later.,INFORMATION
4 laps to go Less radio Copy,INFORMATION
"And Charles has a front wing damage, front wing damage for Charles. Okay, don't slow me down please. Okay.",PROBLEM
"Yellow flag, 8 and 9, big accident.",WARNING
and no more rain for the next 30 minutes.,INFORMATION
"Yeah, very difficult to keep temperature with this safety car.",PROBLEM
"It looks like people are wanted to go through here, Ricky. Okay.",INFORMATION
We also believe that the track is picking up after the safety car and the rain.,INFORMATION
"Entire life of the soft is plus 10. Plus 10. You don't think we can make it to the end? At the moment we don't think, but we are monitoring.",INFORMATION
"How many more laps at this pace? At this pace, 10 more laps, but I'm more worried about... ...the Ghastly, pull a cow, eh? Understood. Ghastly 3.8 in front.",QUESTION
"What we are doing with tyres is very good, good job.",INFORMATION
I could go forever at this place.,INFORMATION
"What do you think is the plan for this? The plan is to keep the pack together, so don't pull away. Copy. It will be doable with Max behind on used hard. Copy. And watch for debris still. Debris on track still.",ORDER
"Russell one second behind, if you keep the puck bounced up he cannot do two stops, Russell cannot do two stops.",INFORMATION
Let me know what you think is good to push. I still have one second of facing her. Understood.,ORDER
I need to go faster if you can till the end.,ORDER
Cup to land all over Whisnant Copy,ORDER
"Lando, point 8 behind, point 8 with DRS, Russell no DRS. Yeah, it's on purpose. Copy that.",INFORMATION
"Which use breaks are they rookie? They are not the one-star one-star? No, no, no, they are out of the pool And they are from Belgium, good warm up on the breaks, anyway",QUESTION
After a double cool people are going a couple of tens faster than the first push.,INFORMATION
The front brakes don't quite seem to be biting that well.,PROBLEM
"I thought she came with first steering, the weird noise came from the right.",PROBLEM
I'm having a push too hard in 11 and 12. I ride an overtake or it needs to manage my crew there.,PROBLEM
Are we working together here or are we just doing our own race? We're still discussing.,QUESTION
So George we need more management turn 11 on throttle. You want me to race or concede positions? You want more management? I will go backwards. We do need to make sure these tyres make it through the stint. We do want to race but we want to make it through the stint.,ORDER
We've got a load of dust coming out the front.,PROBLEM
I haven't been on the radio because I thought it was quite obvious about the pace. Just sat there behind my tyres.,INFORMATION
Vibrations.,PROBLEM
"We've got a load of dust coming out the front. What's the front brake cam? Brake dust. Err, smoke. Ok.",PROBLEM
"A lot of floor edge contact over turn, 8 curve, just a bit there all weekend.",WARNING
"So, okay, we need to retire the car.",PROBLEM
It's gasping back at me I reckon I'm not sure why,INFORMATION
Starts to get a little bit of greener.,INFORMATION
"Yeah, split in, turn 3.",WARNING
"Yeah, it's raining more and more.",INFORMATION
"George, all cool, we're all cool, you're in a good position and we're looking at the heavyweights, we're monitoring, keep talking to us, all cool. Just 6-1, extraordinarily wet, 3-6.",INFORMATION
"So we have a five second time penalty for the rejoin. Yeah, understood. Couldn't see anything.",WARNING
"If the clerk gets close, could we potentially invert positions? And I don't go more than a five ahead of Lewis. If he didn't obviously get Esteban. Don't need to answer and no obligation. This pace is very good at the moment.",QUESTION
Rain intensity is going to be reducing from here on.,INFORMATION
"Can I have a shot, Ocon?",QUESTION
I'm going to start right up Lewis's gearbox here.,INFORMATION
"The car doesn't feel right after that touch I'm just trying to bring home alright? Yeah AFIRM you're doing a really good job, you've got three laps remaining.",PROBLEM
How are brake temps?,QUESTION
I look okay.,INFORMATION
Let me know when you're ready for me to hit a break a bit harder.,ORDER
So some medium runners complaining of graining them.,INFORMATION
If we increase those peak brake pressures that will help load up the front.,ORDER
"Yeah, but you're happy to manage breaks.",ORDER
I don't feel .1 safe.,INFORMATION
"I mean I'm getting these brake wall-ins every lap at the moment. Very firm, we're just bobbling along at the top of the limits on the front left caliper.",INFORMATION
So we just need to increase front surface temps in those areas.,ORDER
Just let me know on the grid how that flap tallied up versus P2 after.,ORDER
Currently expecting two laps behind the safety car and we have the inter-tyre fitted. Copy. That was mandatory from the FIA.,INFORMATION
"And for info there is more light rain on the radar five minutes out. So it will be a rolling start procedure and the safety car will enter the kit lane, end of this lap. Copy. Could you put the Norris on board on your screen, just let me know if he's inside or else down the south straight? I think it's going to be too delayed to be of any use to you. I'll try and keep an eye on GPS and let you know.",INFORMATION
"Rain intensity reducing in the pit lane now. Still wet here and here, very wet. Take off Prez behind on the inter. Prez alongside.",INFORMATION
"This rain is coming, it's going to be lighter than before, two or three minutes out.",INFORMATION
I'll be broadcasting the podium. Are we messing up?,QUESTION
"A lot of vibration on this side. Copy that. Gap ahead, 0.7 to Hulk, 0.8 behind to Lawson.",PROBLEM
"So currently we've got up to the P6 in our pit window, but we are looking at points.",ORDER
Laps! 27 to go end of this lap.,ORDER
"Yeah, it looks like they're going to sacrifice the clerk.",INFORMATION
So we need to keep the pressure on these Ferraris.,ORDER
"Yeah, he's managing a lot, he's very slow. I guess he's trying to back us up.",INFORMATION
"Keep an eye on these tyres. Now, these will go to the end comfortably. Especially how scientists drive, it needs this. Managing big time.",ORDER
"I want to go for this win. Yeah, we understand. We're on the same page, mate.",INFORMATION
"Science reporting, he still has a second of pace in hand.",INFORMATION
"So Norris has DRS, let's start pushing science along now.",ORDER
"Science is driving unnecessarily slow, he's 3-4 seconds up on his delta.",INFORMATION
So you're going to let me back pass or...?,QUESTION
No! No! No! No!,PROBLEM
Oh no no What the f*** Guys what the f*** What a f*** Rookie Oh my goodness is True Yes True That's true Yes True I,PROBLEM
Apex of seven.,WARNING
Another laser boat to keep on this time.,INFORMATION
"Okay, so a bit of split, soft and medium on the grid.",INFORMATION
Nicolai has retired but take your usual position. P18. Dropping.,INFORMATION
"I think I can get the house and at least we'll take a couple of laps. Yeah, copy. Pace feels good. Copy, good. Just click Halkenberg when you can.",INFORMATION
"This is getting frustrating, it's so slow.",PROBLEM
Quite consistent but I can't keep up with the breeze anymore. Copy. This is the pace so... Copy. Understood.,PROBLEM
"Oil button, oil button.",ORDER
Suggest Special 2 for turn 6 through 8.,ORDER
The Williams in front of me is having some rear left grading.,PROBLEM
How are your ties? Oh good.,QUESTION
"Okay Valtteri, we really need to get De Vries if we can. Try to use the blue flag to your advantage.",ORDER
25 minutes to go 25. There is a shower west of to the circuit which is closing in and should pass the circuit but we might feel some drops.,INFORMATION
"Okay, that's ISR. Oh, no, I'll study the work.",INFORMATION
If I see there could be a few drops of rain but nothing major.,INFORMATION
"40 minutes to go, 40 minutes, all cars on grid except Magnussen, the race start will be dry.",INFORMATION
"Couple of drops here of water, but it was the forecast thing.",INFORMATION
"Okay Valtteri, no more shifts, no more shifts, we need to stop the car on track, stop the car. Okay, sorry for that.",PROBLEM
"It is a lizard, a big one. It was on track. Did he want to move? Copy. It's a brave lizard.",WARNING
I can confirm the ride is good. Straight and also I've had a bottom. No problem. Copy. Copy. Good.,INFORMATION
I don't know what he was doing. I was there and just turned in like I didn't exist.,PROBLEM
"And Oscar, this time, do not use anti-overtake, you can keep pushing until turn 5 for the breaking point.",ORDER
"Chaos Car Tire Info. Almost all the cars on soft tires, the only new medium starter is Sargent in P19. The new soft cars are Leclerc, Stroll, Hulkenberg, Magnussen, Ricciardo, Bottas and Joe. Have a good race. Thank you.",INFORMATION
"Oscar, kill the engine. The car is not safe to continue.",PROBLEM
"Oscar, that is a red flag. We're going to see if we can repair the car.",WARNING
"Opportunity Oscar, lean on the front left more, turn 6-7.",ORDER
"And how are the tyres Oscar? How are the tyres? Errr, not great. Don't have any creep. Copy.",QUESTION
"Oscar, do not interfere with Lando's race. Ocon is three and a half seconds behind.",ORDER
"Yeah, there is rain in the north. We think it's still several minutes away if it gets in.",INFORMATION
"There's another shower approaching, expected around lap 60, possibly later. It has grown in intensity, would last the remainder of the race.",INFORMATION
"Class half rain in the pit lane. Yep, some light drops as well on the visor.",INFORMATION
Ah mate I have a massive flat squat now. Copy.,PROBLEM
"Oh, that looks good really good.",INFORMATION
How's the taunt? Still okay for now. No change.,QUESTION
A possible brief and light rain shower approaching could be here in five minutes. Pitlane would get work first. On the radar this would be class one and last only a couple of minutes.,INFORMATION
"And Oscar, how's the balance? Yeah, it's slowly getting there. Slowly getting more regroup, but it's just low group conditions at the moment.",QUESTION
